OC,methane ,OC,ethylene ,OC ,propane
11.4,0.02,8.25,0.08,10.5,0.06
12.4,0.07,8.8,0.16,11.3,0.15
12.8,0.11,9,0.24,11.6,0.26
13,0.12,9.46,0.49,11.8,0.33
13.5,0.20,9.65,0.68,12,0.50
14.1,0.36,10,0.83,12.3,0.74
14.1,0.33,11.2,0.98,12.8,0.90
14.1,0.37,12.1,1.00,13.5,1.00
14.5,0.58,13.5,1.00,14.1,1.00
14.5,0.62,14.1,1.00,20.9,1.00
15,0.92,14.5,1.00,,
15.1,0.91,16.1,1.00,,
15.1,0.89,20.9,1.00,,
15.2,0.94,,,,
15.5,0.96,,,,
15.5,0.95,,,,
15.8,0.98,,,,
15.8,0.97,,,,
16,0.99,,,,
16.1,1.00,,,,
16.1,0.99,,,,
16.1,1.00,,,,
16.1,0.98,,,,
16.4,1.00,,,,
16.4,0.98,,,,
16.7,1.00,,,,
16.7,1.00,,,,
17,1.00,,,,
17,1.00,,,,
17,1.00,,,,
17.1,1.00,,,,
18,1.00,,,,
18,1.00,,,,
20.9,1.00,,,,
20.9,1.00,,,,
20.9,1.00,,,,
